,string_length,encryption_times,decryption_times
0,32,0.0004612999999999978,0.0011729000000000323
1,64,0.00043130000000002333,0.0012048000000000059
2,128,0.0007505999999999347,0.002365100000000009
3,256,0.0013663000000001535,0.00467379999999995
4,512,0.0026057999999999915,0.009318900000000019
5,1024,0.005013699999999899,0.0200807999999999
6,2048,0.009819800000000045,0.038737299999999975
7,4096,0.019606900000000094,0.07403629999999994
8,8192,0.03873789999999988,0.1484665999999999
9,16384,0.07702959999999992,0.29710649999999994
10,32768,0.15400539999999974,0.5932170999999999
11,65536,0.31037029999999977,1.2523336000000005
12,131072,0.6190673000000002,2.3961388
13,262144,1.2545238999999997,4.7522102
14,524288,2.5345674999999996,9.7153903
15,1048576,5.129356900000001,19.366139099999998
16,2097152,10.362891700000006,39.0033541
17,4194304,-,-
18,8388608,-,-
19,16777216,-,-
20,33554432,-,-
21,67108864,-,-
22,134217728,-,-
23,268435456,-,-
24,536870912,-,-
25,1073741824,-,-
